书名,可替换书名,朝代,注,注2,作者
桂留山房诗集,,清,,,沈学渊
桂馨堂集,,清,,,张廷济
桧亭集,,元,,,丁复
桧庭吟稿,,,,减,葛起耕
海宁州志,道光海宁州志,清,,,朱绪曾
海宁陈氏家谱,,清,,,陈元龙
海宁陈氏家谱世传,,,,,
海宁陈氏家谱纪略,,,,,陈邦直
海宁陈氏家谱考略,,,,增,
海昌备志,,清,,,钱泰吉
海陵集,,宋,,,周麟之
海野词,,宋,,,曾覿
浩然斋雅谈,,宋,,,周密
花团锦簇楼诗辑,,清,,,蔡尔康
花宜馆诗钞,,清,,,吴振棫
花雨山楼随笔,,清,,,沈学祖
花南诗集,,清,,,陈韶
花巢诗稿,,,,,傅岩
花隐庵随笔,,清,,,孙泰吉
花溪集,,元,,,蒋梦麟
花韵轩诗词,,,,,蒋恭亮
悔庵学文,,清,,,严元照
积山先生遗集,积山遗集,清,,,汪惟宪
积斋集,,元,,增,程端学
继声堂集,,清,,,张寅
继述堂集,,,,增,
继雅堂诗集,,清,,,陈仅
涧泉日记,,宋,,,韩㴲
涧泉诗余,,宋,,,韩㴲
涧泉集,,宋,,,韩㴲
借闲生词,,清,,增,汪远孙
借闲生诗,,清,,,汪远孙
芥园诗稿,,清,,,汪介寿
晋砖酬唱诗,,清,,,胡虔
烬余编杂诗,,,,,丁汝为
捐输生息碑,,清,,增,
狷斋遗稿,,清,,,邹志路
浪迹丛谈,,清,,,梁章钜
留余堂诗钞,留余草堂诗钞,清,,,夏之盛
留余草堂诗钞二集,,清,,减,夏之盛
留青日札,,明,,,田艺衡
留青集,,清,,,陈枚
留春草堂诗钞,,清,,,伊秉绶
留素堂诗集,,,,,蒋薰
旅堂诗集,,,,减,胡介
秘殿珠林,,清,,,
冥报录,,清,,,陆圻
秣陵集,,清,,,陈文述
能改斋漫录,,,,,吴上尊
倪文僖集,,明,,,倪谦
倪烈妇行,,清,,,戴珣
聂掌教集,,明,,,聂大年
栖里景物略,,,,,
栖饮草堂诗钞,,清,,,汤礼祥
栖流所详定规条,,,,减,
耆旧集,,,,减,
钱氏私志,,宋,,,钱世昭
钱塘水利志,,清,,增,
钱塘王氏宗谱,,清,,,王修玉
钱塘王氏家谱,,,,增,
钱塘西湖百咏,,宋,,减,郭祥正
钱塘先贤传赞,,宋,,,袁韶
钱塘吴氏家谱,,清,,减,朱筠
钱塘县志,不详,,,增,
钱塘县志补,,清,,,吴允嘉
钱塘县志补,,,,,张伯淳
钱塘县志补,,,,,王寅
钱塘遗事,,元,,,刘一清
倩影楼遗稿,,清,,,陆蒨
桥南草堂集,,,,,吴俊琪
秦亭诗集,,清,,,张丹
容台集,,明,,,董其昌
容安诗草,,,,,胡容志
容斋随笔,容斋四笔、容斋三笔,宋,,,洪迈
润屋稿,林元书润屋稿,,,,林元书
弱水诗,,清,,,屈复
剡源文集,,元,,,戴表元
剡源诗文补,,元,,,戴表元
射雕山馆集,,,,,应保时
谁园诗钞,,,,,
神州古史考,,清,,增,倪璠
神州古迹考,,,,减,
适安藏拙稿,,,,,武衍
适园石刻,适园记,清,,,李榕
衰晚编,,清,,,张遂辰
苏东坡集,苏文忠公诗集、苏文忠公集注,宋,,,苏轼
苏州府志,,,,,
苏庵集,,清,,,杨葆光
素余堂集,,清,,,于敏中
谈薮,,宋,,,庞元英
唐书,,宋,,,欧阳修
唐文粹,,宋,,减,姚铉
唐文粹补遗,,清,,,郭麟
桃花圣解庵日记,,清,,,李慈铭
特用江苏知县丁君德配陆恭人家传,,清,,增,柳商贤
铁网珊瑚,,明,,,朱存理
铁花山馆诗稿,,清,,,吴兆麟
铁花吟社诗存,,清,,,王景彝
铁花吟社诗稿,,清,,,吴兆麟
铁桥漫稿,,清,,,严可均
铁崖乐府,,元,,,杨维桢
铁崖漫稿,,元,,,杨维桢
铁琴铜剑楼藏书目录,,民,,,瞿良士
庭立纪闻,,清,,,梁众
庭闻录,,清,,,刘健
桐华馆诗存,,清,,,黄模
桐江续集,,元,,,方回
桐江集,,元,,,方回
桐屿集,,明,释,,德轩等
桐阴书屋稿,,清,,,章坤
桐阴草堂诗集,,清,,,梁炳章
桐乳斋诗集,,清,,,梁文濂
桐香馆诗存,,清,,,汪震
桐荫书屋诗稿,,清,,增,章坤
桐溪诗草,,清,,,沈鹏
涂说,,清,,,缪艮
退补斋诗存,,清,,,胡凤丹
退耕堂诗集,,,,,陈希敬
退庵诗稿,,清,,,沈映钤
退庵南省公余录,,,,,
退庵剩稿,,清,,,沈映钤
退庵随笔,,清,,,梁章钜
退庵随笔,,清,,,沈映钤
苇航纪谈,,宋,,,蒋津
翁广平书湖州庄氏史狱,,,,减,
翁山诗集,,,,,
翁氏家谱,,,,,
奚囊蠹余,,明,,,张潮
息耕草堂诗集,,清,,,黄安涛
息影庐小稿,,清,,,王叔钊
息影庵初存诗,,清,,,蒋坦
夏时正赠公遗集,,明,,,夏时正
消闲余话,,,,,吴嗣广
校经廎文稿,,清,,,李富孙
修吉堂文稿,,,,,徐倬
修甫诗存,,清,,,丁立诚
修浚黄婆荡沟碑记,,清,,增,
绣虎轩次集,,,,,李煜
绣虎轩集,,,,,曹德馨
徐氏忠节录,,,,,
徐文长集,,明,,,徐渭
徐尔麟诗稿,徐尔𪊞诗稿,清,,,徐尔麟
徐以璋集,,,,,
选佛诗传,,,,,查义
逊学斋文钞,,清,,,孙衣言
烟屿楼诗集,,,,,徐时栋
烟波渔唱,,清,,,张应昌
烟波渔唱续钞,,清,,,张应昌
烟霞万古楼诗选,,,,,王昙
倚晴诗续集,,,,,
倚晴楼诗续集,,清,,增,黄燮清
倚晴楼诗集,,清,,增,黄燮清
倚楼集,,,,,江熷
烎虚大师遗集,,清,释,,明中
蚓庵琐语,,清,,,王逋
涌幢小品,,明,,,朱国桢
袁州志,,清,,,陈乔枞
悦目益心,,清,,,黄凯钧
悦亲楼诗集,,,,,祝德麟
耘业堂遗稿,,清,,,项溶
芸夫诗草,,清,,,朱域
芸居乙稿,,宋,,,陈起
芸庵类稿,,宋,,,李洪
芸隐倦游稿,,宋,,,施枢
芸隐横舟稿叙,,宋,,,施枢
浙人诗存,,清,,,柴杰
浙士登科考,,,,,
浙东平寇纪略,,,,,
浙江八旗事宜,,,,,
浙江乡试齿录,不详,,,增,
浙江开府镇东楼记,,,,,
浙江水利全图,,清,,,阮元
浙江抚署续刻题名碑记,,清,,增,杨昌濬
浙江采集遗书总录跋,,,,,
浙江省城水利全图,,,,,
浙江省城全图,,,,,
浙江省城坊巷全图,,清,,增,
浙江通志,雍正浙江通志,清,,,嵇曾筠
浙江提学使院修治庑舍并设木石几座记,（石刻）,清,,,孙星衍
浙游小草,,,,,李春畅
振绮堂丛书,,,,,
振绮堂存稿,,清,,,汪宪
真心直说,,,,,
真仙通鉴,,元,,增,赵道一
真有益斋文编,,清,,,黄安涛
真隐漫录,,宋,,,
芝园诗稿,,,,,庄和
芝圃丛说,,,,,赵世显
芝塘诗钞,,,,,
秩祀轩辕庙先蚕殿碑文,,清,,增,觉罗古庆
珠山集,,,,,
烛湖集,,宋,,增,孙应时
准斋杂说,,宋,,增,吴如愚
准斋集说附录,,,,减,徐元杰
祖砚堂集,,清,,,朱人凤
曹氏宗谱,,,,,
巢林笔谈,,,,,龚炜
巢青阁学言,,清,,,陆曾禹
巢青阁集,,清,,,陆进
崇雅堂文钞,,清,,,胡敬
崇雅堂文集,,清,,,胡敬
崇雅堂删余诗,,清,,,胡敬
崇雅堂诗钞,,清,,,杨汝谐
崇雅堂诗集,,清,,减,胡敬
崇雅堂骈体文抄,,清,,增,胡敬
崇雅堂骈体文钞,,清,,减,胡敬
崇雅堂集,,清,,,胡敬
船窗夜话,,,,,顾文薦
淳祐志,淳祐临安志,宋,,,施谔
淳祐铁镬考,,,,,
淡如文稿,,清,,,秦湘业
第一功德录,,,,减,
梵隐堂诗存,,,释,,祖观
范文正公集,,宋,,,范仲淹
范阳卢氏家乘,,,,,
龚自珍文集,,清,,,龚自珍
馆阁续录,,,,,
郭子章集,,明,,,
郭西小志,,清,,,姚礼
郭西诗选,,,,,赵时敏
涵远山房诗集,,,,,张廷俊
寄龛丁志,,清,,减,孙德祖
寄龛甲志,,清,,减,孙德祖
健松诗钞,,清,,,方象瑛
健松斋集,,清,,,方象瑛
旌德观记,,,,减,王概
救命王庙石刻记,,清,,增,陆有壬
康熙仁和志,康熙仁和县志,清,,,赵世安
康熙兴化县志,,清,,减,张可立
康熙府志,康熙杭州府志,清,,,马如龙
康熙钱塘志,康熙钱塘县志,清,,,魏㟲
康熙钱塘志稿,,清,,,梁允植
琅玢家乘,,,,减,
琅玡家谱,,,,减,
琅琊家乘,,,,增,王氏
琅嬛文集,,清,,减,张岱
离垢集,,清,,,华嵒
理安寺志,,清,释,,实月
笠杖集,,清,,,张盛藻
笠翁文集,,清,,,李渔
梁书,,唐,,,姚思廉
梁溪漫志,,宋,,,费衮
翏英子集,,清,,,俞兴瑞
陵阳集,,宋,,,牟巘
鹿门文集,茅鹿门文集,明,,,茅坤
鹿园集,,,,,万表
绿伽楠仙馆诗集,,,,,钱廷烺
绿伽楠精舍诗集,,,,,钱廷烺
绿窗同怀稿,,,,,韩鸾仪、韩凤仪
梅山续稿,,,,,
梅东草堂诗,,清,,,顾永年
梅东草堂诗序,,清,,,翁高年
梅石䨥清集,,清,,,汪沆
梅边笛谱,,清,,,李允升
梅竹山房词钞,,清,,,章黼
梅竹山房诗钞,,清,,,章黼
梅竹山房集附录,,清,,,章黼
梅竹联吟,,,,,
梅轩思念录,,清,,增,王有龄
梅坪诗钞,,清,,增,董大伦
梅屋四稿,,,,,许斐
梅花老屋诗稿,,,,,傅濂
梅花园存稿,,,,,钟韫
梅花集句,,,,,
梅涧诗话,,,,,韦安居
梅庵诗钞,,清,,,铁保
梅溪书屋古文丛钞,,清,,,丁午
梅溪书屋记,,清,,增,杨文
梅溪王先生文集后集,梅溪集,宋,,,王十朋
梦占类考,,明,,,张凤翼
梦观集,,元,释,,大圭
梦春庐词,,清,,,李贻德
梦花草堂诗钞,,,,,江顺诒
梦巢诗草,,,,,许秉展
梦窗词稿,,宋,,,吴文英
梦粱录,,宋,,,吴自牧
密斋文集,,清,,,程同文
密斋笔记,,宋,,,谢采伯
密庵集,,明,,,谢肃
偶吟草,,,,,朱璿
偶寄生诗草,,,,,
排山小集,,清,,,朱枫
排山续集,,清,,增,朱枫
匏落吟集,,清,,,沈乘
培桂山房诗钞,,清,,,汪上珍
瓶山草堂集,,清,,,姚光晋
瓶隐山房词,,清,,,黄曾
瓶隐山房诗,,清,,,黄曾
瓶罄微吟,,,,,蔡廷弼
陭堂摘稿,,,,,许应元
乾初文集,沈乾初先生文集,清,,减,陈乾初
乾淳岁时记,,宋,,,周密
乾隆府志,乾隆杭州府志,清,,,郑澶
乾隆建宁县志,,清,,,张琦
乾道志,乾道临安志,宋,,,周淙
乾道庚寅奏事录,,宋,,,周必大
清一统志,大清一统志,,,,
清白士集,,清,,,梁玉绳
清平山馆诗钞,,,,,叶元楷
清仪阁题跋,,清,,,张廷济
清江集,清江贝先生集,明,,,贝琼
清吟阁诗草,,清,,增,瞿世瑛
清波三志,,清,,增,陈景钟
清波小志,,清,,,徐逢吉
清波小志补,,清,,,陈景钟
清波从志,疑其他清波杂志误,,,增,
清波杂志,,宋,,,周煇
清波别志,,宋,,,周煇
清波类志,,清,,,陈景钟
清河家乘,,,,,张育鸾
清河家乘承记录,,,,减,
清河神僧传,,,,,
清夜录,,,,,俞文豹
清夜录,,宋,,增,俞文豹
清贻堂存稿,,清,,减,王益朋
清爱堂集,,,,,魏成宪
清容居士集,,,,,袁桷
清娱阁诗集,,,,,鲍之蕙
清献堂集,,清,,,赵佑
清献集,杜清献公集,宋,,,杜范
清尊集,,清,,,汪远孙
掞斋诗钞,,,,,万藻
商文毅公集,,明,,减,商辂
商补田氏西湖游志余,,明,,减,商维濬
深柳读书堂诗集,,清,,,明忠
深柳堂诗集,,,,,
笙月词,,,,,王诒寿
率性吟,,清,,,郑文琅
爽籁山房集,,清,,,程之章
苔碕小稿,,,,,陈宣
陶学士集,,明,,,陶安
桯史,,宋,,,岳珂
通元观志,通玄观志,清,,,吴琰
通艺录,,清,,,程瑶田
通艺阁文集,,清,,,姚椿
通艺阁诗集,,清,,,姚椿
通鉴博论,,明,,,朱权
唾余集,,明,释,,广化
唾余新拾,,清,,,李调元
晚闻居士遗集,,,,,王宗炎
晚耘翁家传,,,,增,
晚晴书屋诗钞,,清,,,陈春晓
晚晴轩诗钞,,清,,,梁龄曾
晚盥堂诗学,,清,,,项奎
梧园诗选,,清,,,吴农祥
梧园集,,清,,,吴农祥
梧园藏稿,,清,,,吴农祥
梧溪集,,元,,,王逢
惜抱轩文集,,清,,,姚鼐
惜抱轩诗集,,清,,,姚鼐
晞发集,,宋,,,谢翱
衔蝉小录,,清,,,孙荪意
祥符古志略,,,,,
啸古堂集,,清,,减,蒋敦复
啸竹堂集,,清,,,王锡
啸虎轩集,,,,,
啸亭杂录,,清,,,
啸翁村居以后诗,,,,,
谐史,,宋,,,沈俶
谐铎,,清,,,沈起凤
续书画题跋记,,,,,郁逢庆
续文献通考,,明,,,王析
续白鹿洞学规,,,,,胡文敬
续白鹿洞学规附刊,,,,减,
续东轩文,,清,,,高均儒
续东轩诗,,清,,,高均儒
续东河棹歌,,,,,
续夷坚志,,金,,,元好问
续纲目,,,,,
续冷庐杂志,,清,,减,陆以湉
续制义科琐记,,,,,李调元
续南华文稿,,,,,李颍
续游志,,,,,陶宗仪
续楹联丛话,,,,,
雪门诗草,许雪门诗钞,清,,,许瑶光
雪门诗草,,清,,增,许瑶光
雪江集,,明,释,,明秀
雪泥鸿爪录,,,,,鲍珍
雪坡文集,姚舍人文集,宋,,,姚勉
雪浦诗存,,清,,,龚藻身
雪鸿小草,不确认,清,,增,吴农祥
雪帷韵竹词,,清,,,孙锡
雪楼集,,元,,,程文海
雪溪山楼集,,,,,陈庆祉
研北杂志,,元,,,陆友
研经室文集,,清,,,阮元
窑器说,,清,,,程哲
野客丛书,,宋,,,王㮘
银瓶征,,清,,,俞樾
婴山小园诗集,,清,,,张诚
庸闲斋笔记,,清,,,陈其元
庸庵集,,元,,,宋禧
渔石集,,明,,,唐龙
渔矶漫钞,,,,,雷琳
渔浦草堂诗集,,,,,张道
渔溪诗稿,,宋,,,俞桂
御选悦心集,,,,,
谕旨全录,,,,减,
苑西集,,清,,,高士奇
章氏家乘,,,,,
章承茂诗集,,,,,
渚步遗闻,,,,,
茁斋集,,明,,,邹虞
啽呓吟,,清,,,陆德星
皕宋楼藏书目,,清,,,陆心源
敝帚斋余谈,,清,,,沈德符
草桥先生传,,清,,减,许应元
曾文正集,,清,,,曾国藩
曾复斋诗集,,,,,
茶余客话,,,,,阮葵生
茶毗诗钞,茶民诗钞,,,,许大纶
茶梦山房吟草,,清,释,,达宣
茶梦庵词稿,,清,,,高望曾
茶梦庵诗稿,,清,,,高望曾
朝野类要,,宋,,,赵升
朝野遗记,,宋,,,佚名
程仲权集,,,,,
程雪楼文集,,元,,,
絮斋集,,清,,增,汪度
辍耕录,,明,,,陶宗仪
赐砚斋诗钞,,,,,伊朝栋
赐砚斋集,,,,,龚汝言
赐砚堂诗集,,清,,,齐召南
等闲集诗钞,,清,,,张敬谓
跌翠楼集,,,,,
都公谭纂,,,,,陆采
都城纪胜,,宋,,,耐得翁
敦艮堂文集,,清,,,蒋师爚
傅侍御文,,明,,增,傅伯俊
富阳县志,,,,增,
觚剩,,清,,,钮琇
寒山旧庐诗,,清,,,陆文谟
寒山旧庐诗注,,清,,减,王庚期
寒石诗钞,,清,,,沈绍姬
寒村五丁集,,,,,
寒村安庸集,,,,,
寒夜丛谈,,清,,减,沈赤然
寒香馆诗稿,,清,,,殷铻金
韩门缀学续编,,清,,,汪师韩
韩门辍学,,清,,,汪师韩
韩氏宗谱,,,,增,
韩氏家乘,,清,,,韩家坤
湖山百咏,,明,,,夏时正
湖山杂咏,,,,,王伟
湖山杂咏,,清,,,王纬象
湖山便览,,清,,,翟瀚、翟灝
湖上便览,,明,,,王世贞
湖上编,遂辰湖上编,清,,,张遂辰
湖上编补遗,,清,,,李奎
湖海新闻,,元,,,
湖楼集,,清,,,朱琰
湖壖杂记,湖堧杂记,清,,,陆次云
黄氏日钞,,清,,增,黄震
黄氏家谱,,,,,
黄文献集,,元,,,黄溍
黄学士文集,,元,,,黄溍
黄高士诗,,元,,,黄福缘
黄雪山房诗选,,,,,徐逢吉
黄鹄山人诗钞,,清,,,林寿图
黄荛圃先生年谱,,清,,,江标
黄漳浦集,,明,,,黄道周
荟蕞编,,,,,俞樾
嵇文恭公集,,明,,,程可中
缉雅堂留别续輶轩录同人诗,,清,,增,
集字唱和,,清,,,朱文藻
集杭谚诗,,清,,,邵㦤辰
絜斋集,,宋,,,袁燮
款古堂诗,,,,增,
琳斋诗稿,,清,,,王景彝
鲁春秋,,,,减,
鲁庵诗草,,,,,蒋大椿
彭启丰文集,,清,,,彭启丰
普陀山志,,明,,,朱谨、陈濬
普济堂志,,清,,增,
普济堂放生池记,,清,,增,孙树礼
期庵集,,,,,
棋坪诗钞,,,,减,周思兼
琴西文集,,清,,,孙衣言
琴砚山房诗钞,,,,,沈广敬
琴斋诗钞,,,,,张梿
琴趣轩吟卷,,,,,黄崇庆
善卷堂四六,,清,,,卢繁貂
释氏释古略,,,,,
疏野堂集,,,,,归令瑜
疏寮集,,宋,,增,高似孙
随手杂录,,宋,,,王巩
随园诗话,,清,,,袁枚
随园食单,,清,,,袁枚
随便集,,清,释,,禅一
随俟书屋诗集,,,,减,刘锡五
随辇集,,清,,,高士奇
随隐漫录,,宋,,,陈世崇
棠村吟稿,,清,,,翟瀚
渭南文集,,宋,,,陆游
温恭毅公文集,,明,,,温纯
羡门山人诗钞,,,,,孙霖
湘灵集,,清,,,冯娴
湘南韩氏宗谱,,,,,韩家坤
湘管斋诗稿,,清,,,陈焯
湘管斋寓赏续编,,清,,,陈焯
湘管斋寓赏编,,清,,,陈焯
湘管斋寓赏编续序,,清,,减,陈焯
销闲余话,,,,减,吴嗣广
巽斋小集,,,,,危稹
雅扶堂诗集,,,,,毛宗文
雅林小稿,,宋,,减,王琮
雅歌堂诗钞,,,,,徐经
雁门集,,元,,,萨都剌
药井诗,,,,减,
药园今体诗,,清,,,吴焯
药园古体诗,,清,,,吴焯
药房樵唱,,元,,,吴景奎
逸子诗集,,,,,唐员
逸民史,,明,,,陈继儒
隐拙斋集,,清,,,沈廷芳
荥阳外史集,,明,,,郭贞
游杭合集,,,,,徐柳泉
游明圣湖日记,,清,,,浦祊
游宦纪闻,,宋,,,张世南
寓林集,,明,,,黄汝亨
缘庵诗话,,清,,,李堂
湛园题跋,,元,,,白珽
湛渊静语,,元,,,白珽
跖余集,,,,,孙健
煮凌霄榭诗集,,,,,陈焵
筑岩诗钞,,,,,吾定保
铸庐吟草,,清,,减,裕贵
滋溪文稿,,元,,,苏天爵
紫云志,,元,,,杨维桢
紫竹山房集,,清,,,陈兆嵛
紫竹山房集年谱,,,,,
紫薇花馆诗稿,,清,,,王廷鼎
紫薇花馆稿,,清,,减,吴耀炳
紫薇稿,,明,,,桂衡
尊胜咒经,,,,,
稗史,,元,,减,仇远
稗贩,,清,,,曹斯栋
稗畦续集,,清,,,洪升
鲍太史集,鲍存晓大史诗集,,,,鲍存晓
禅寄笔谈,,明,,,陈思
楮园诗选,,,,增,
道古堂文集,,清,,增,杭世骏
道古堂诗集,,清,,增,杭世骏
道古堂集,,清,,,杭世骏
道光乙未科浙江乡试齿录,,,,,
道光丁酉各省选拔同年明经通谱,,,,,
道光丁酉科浙江乡试齿录,,,,,
道光己未恩科浙江乡试齿录,,,,,
道光己亥科浙江乡试齿录,,,,,
道光己酉科拔贡同年录,,,,,
道光壬辰科浙江乡试同年录,,,,,
道光甲午科浙江乡试同年齿录,,,,,
道光辛巳恩科浙江乡试同年齿录,,,,,
道光癸卯科浙江乡试齿录,,,,,
道园学古录,,元,,,虞集
道园集,,元,,,虞集
道命录,,宋,,,李心传
道腴堂诗编,,清,,增,鲍鉁
董氏诗草,,清,,,董昭懋
莆风清籁集,,清,,,郑王臣
感旧怀人诗,,,,,
感应篇易知录,,,,减,
感遇草,,,,,蔡兆辂
鼓枻稿,,元,,,虞堪
简庄文钞续编,,清,,,陈鳣
简庄缀文,,清,,,陈鳣
简松草堂集,,清,,,张云璈
鉴止水斋集,,清,,,许宗彦
剿平粤匪方略,,,,,
解舂集,解舂集文钞、解舂集诗钞,清,,,冯景
敬业堂诗集,,清,,,查慎行
敬灶全书,,,,,
敬修堂课钞,,清,,,胡敬
敬堂集,,清,,减,胡凤锦
靖孙诗稿,,,,增,
筠谷诗钞,,清,,,郑江
筠圃小草,,,,增,
楷癭斋诗稿,,清,,,黄树谷
窥园诗钞,,,,,王梦篆
暌车志,,宋,,,郭彖
莱州府志,,,,,
莲居庵记,,清,,,胡敬
莲居庵记跋,,清,,,魏谦升
莲居庵绍觉法师塔铭,,明,,,吴端伯
莲居庵碑,,清,,减,张青莲
莲社词,,宋,,,张抡
莲龛集,,清,,,李泰来
楝花草堂吟草,,,,,金鳌
粮储道档案,,,,增,
楳埜集,,宋,,,徐元杰
盟山堂诗初集,,,,,屠秉
盟山堂诗集,,,,,屠秉
盟心堂诗初集,,,,减,郭凤丹
频罗庵遗集,,清,,,梁同书
频迦偶吟,,清,,,张士荦
频香秋馆诗钞,,,,减,顾文正
瑞石山志,,清,,,
瑞石山房诗集,,,,,张旸
瑞石山房诗稿,,,,,
瑞芍轩诗钞,,,,,许乃谷
慎独斋吟剩,,清,,,童凤三
蜃园集,蜃园诗后集、蜃园诗前集,,,,李天植
嵊县志,道光嵊县志,清,,,李式圃、朱渌
蜕庵集,,元,,,张翥
嵩年文集,,,,,王高
搜玄抉微,,,,,
搜神记,,晋,,,干宝
遂初堂集,,清,,,潘耒
遂昌杂录,,元,,,郑元祐
塘栖志略,,清,,,何琪
塘栖景物略,,清,,减,张半庵
荼毗誊集,,清,,,许大纶
锡金识小录,,清,,,黄印
遐叔文集,李遐叔文集,唐,,,李华
筱饮斋稿,筱㱃斋稿,清,,,陆飞
新门散记,,清,,,罗以智
新安文献志,,明,,,程敏政
新年杂咏,,,,,
新齐谐,,清,,,袁枚
新建敷文讲学之庐记,（石刻）,清,,增,叶赫嵩骏
新语草堂诗余,新雨草堂诗余,清,,,陆新
新镌海内奇观,,明,,增,杨尔曾
遗经堂诗存,,清,,,钱钊
颐彩堂文集,,清,,,沈叔诞
颐道堂文钞,,清,,,陈文述
颐道堂戒后诗存,,,,,
颐道堂诗外集,,,,,
颐道堂诗钞,,清,,,陈文述
颐道堂诗集,,清,,增,陈文述
楹联丛话,,清,,,梁章钜
愚谷文存,,清,,,吴骞
愚谷遗诗,,清,,,周霁
愚堂诗草,,,,,施镐
榆西仙馆初稿,,,,,蒋诗
榆村诗集,,,,,费辰
腴仙馆稿,,,,,姚樟云
筼谷文钞,,清,,,查揆
筼谷诗钞,,清,,,查揆
韫山堂文集,,清,,,管世铭
韵山堂诗集,,清,,,王文诰
韵梧山房诗稿,,,,,姚壎伯
碧川文选,,,,,
碧罗庵诗文抄,碧罗庵集,,,,陈铦
碧城诗体,,清,,,陈颐道
碧梧玩芳集,,宋,,,马廷鸾
碧筠馆诗稿,,明,,,凌立
碧溪诗话,,清,,,朱文藻
碧溪草堂诗集,,清,,,朱文藻
裨句,,,,,鲍珍
慈柏山房诗稿,,,,,余锷
慈晖馆诗草,,清,,,阮恩滦
慈湖遗书,,宋,,,杨简
翠屏集,,明,,,张以宁
翠浮阁词,,清,,,魏谦升
翠浮阁诗集,,清,,,魏谦升
翠寒集,,元,,,宋元
萃砚山房诗草,,,,,沈广敬
端平诗集,,宋,,,周弼
端绮堂小稿,,清,,,赵嘉淦
福建通志,,清,,,郝玉麟
槐西杂志,,清,,,纪昀
槐桂山堂诗钞,,,,减,王嗣
槐塘文稿,,清,,,汪沆
槐塘诗稿,,清,,,汪沆
夥居唱和诗,,,,增,
霁山集,,宋,,,林景熙
嘉靖仁和志,嘉靖仁和县志,明,,,沈朝宣
嘉靖浙江通志,,明,,减,薛应旂
菽欢堂诗集,,清,,,王丹墀
菽园十咏,菽园十咏（石刻）,,,,余庭训
菽园杂记,,明,,,陆容
菽原堂初集,,清,,,查初揆
鲒埼亭集,,清,,,全祖望
鲒埼亭集外编,,清,,,全祖望
精忠柏堂图,,清,,减,彭玉麟
静存斋集,钱师曾文集,清,,,钱师曾
静观室诗存,静观堂诗存,,,,王绍祥
静志居诗话,,,,,
静居集,,明,,,张羽
静便斋集,,清,,,王曾祥
静庵剩稿,,,,,李妙端
静寄轩诗草,静寄斋诗草,,,,葛庆曾
静廉斋集,,清,,,金甡
缪武烈公遗集,,,,,
菊庄集,,,,,刘泰
菊逸斋序,,,,减,
瑯玡宗谱,,,,增,王氏
榴实山庄诗钞,,清,,,吴存义
漫兴诗集,,,,,杨观诚
漫愚斋诗钞,,清,,,
缦雅堂文集,缦雅堂骈体文,清,,,王诒寿
谯国诗钞,,,,,
榕园吟稿,,,,,吴应如
榕斋诗钞,,,,,诸省三
僧宝传,,宋,释,,惠洪
漱红山房诗集,,清,,增,
菘町遗稿,,清,,,沈菘町
菘塍斋遗稿,,清,,,余大观
萚石斋诗集,,清,,,钱载
萧然室小记,,清,,,林一枝
疑狱集续,,,,,张景
营防小志,,清,,,盛元
愿学堂诗钞,,,,,王宗耀
萑苇书屋诗钞,,清,,,方观澜
葆园诗存,,清,,,汪上彩
澄怀书屋诗钞,,清,,减,穆彰阿
澄怀堂诗外,,清,,,陈裴之
澄怀堂诗集,,清,,,陈裴之
澄秋阁二集,,清,,,闵华
澄秋阁集,,清,,,闵华
澄清堂诗集,不确认,清,,增,范祝崧
澄清堂稿,,,,,
澄碧斋诗钞,,清,,,钱琦
樗寮诗话,,清,,减,姚椿
噉蔗全集,,清,,,张羲年
稻香吟馆诗稿,,,,,李赓芸
德风亭纪,,清,,,
德星堂文集,,,,,许汝霖
樊山集,,,,,樊嘉
樊榭山房续集,,清,,增,厉鹗
樊榭山房集,慈伯山房诗稿,清,,,厉鹗
葑塘年谱,胡葑塘年谱,清,,,胡敬
鹤山集,,宋,,,魏了翁
鹤年诗集,,宋,,,丁鹤年
鹤林玉露,,宋,,,罗大经
鹤涂文集,,清,,,叶溶
横山乡人类稿,,清,,减,陈庆年
横云山人集,,清,,,王鸿绪
横经堂诗余,,,,,张泰初
篁墩集,,明,,,程敏政
慧因寺志,,明,,,李翥
稼门文钞,,清,,,汪志伊
葵圃存集,,,,,郑怀魁
葵窗集,,,,,周瑞臣
黎阁诗钞,然黎阁诗钞,,,,蔡涛
履园丛话,,清,,,钱泳
履斋遗集,,宋,,,吴潜
鄮峰真隐漫录,,宋,,减,史浩
墨庄诗钞,,清,女,,林以宁
墨庄漫录,,清,,增,林以宁
墨林今话,,清,,,蒋宝岭
墨林诗话,,,,,
墨稼穑斋文钞,,清,,,邹志初
墨稼穑斋诗稿,,清,,,邹志初
暮园小志,,清,,,汪士骧
霈亭偶录,,,,,
潜山集,,宋,,,文珦
潜斋集,,宋,,,何梦桂
潜虚诗钞,,,,,翁咸封
潜研堂文集,,清,,,钱大昕
潜研堂诗集,,清,,增,钱大昕
潜溪集,,明,,,宋濂
瘦石庵诗钞,,清,,,孙元埈
潠书,,清,,,王先舒
毅斋集,,明,,,王洪
影桥记,,清,,减,阮元
影桥记跋,影桥记跋（石刻）,清,,,陶濬宣
增订湖山类稿,湖山类稿,宋,,,汪元量
辩利院志,,清,,,翟灏
餐霞室吟稿,,清,,,许灿
澹初诗稿,,,,减,沈翼机
澹吾余斋诗存,,清,,,吴宝坚
